Name,Time,Prod,Area,AverProd,NormProd
FuShan,2003,26059,1867,13.95768613,
FuShan,2004,57252,992,57.71370968,
FuShan,2005,65965,992,66.49697581,
FuShan,2006,26796,982,27.28716904,
FuShan,2007,19039,914,20.83041575,
FuShan,2008,24215,871,27.80137773,
FuShan,2009,28969,770,37.62207792,
FuShan,2010,30080,651,46.20583717,
FuShan,2011,24754,798,31.02005013,
FuShan,2012,21331,745,28.63221477,
FuShan,2013,22495,811,27.73736128,
FuShan,2014,25647,780,32.88076923,
FuShan,2015,26056.8,819,31.81538462,
FuShan,2016,25257.15,754,33.49754642,
FuShan,2017,25469.75,685,37.18211679,
FuShan,2018,25470,684,37.23684211,
FuShan,2019,28524,856,33.32242991,
FuShan,2020,29779,828,35.96497585,
FuShan,2021,208248,4847,42.96430782,
FuShan,2022,215782,4862,44.38132456,
HaiYang,2003,70241,8195,8.571201952,
HaiYang,2004,128072,8231,15.55971328,
HaiYang,2005,158672,8354,18.99353603,
HaiYang,2006,184315,8339,22.10277012,
HaiYang,2007,203574,7899,25.77212305,
HaiYang,2008,231971,8299,27.95168093,
HaiYang,2009,242820,7654,31.72458845,
HaiYang,2010,231601,8109,28.56098163,
HaiYang,2011,257697,8152,31.61150638,
HaiYang,2012,310422,9599,32.33899365,
HaiYang,2013,385920,10254,37.63604447,
HaiYang,2014,370069,10385,35.63495426,
HaiYang,2015,397236,10381,38.26567768,
HaiYang,2016,400518,10498,38.15183845,
HaiYang,2017,402098,10532,38.17869351,
HaiYang,2018,402098,10532,38.17869351,
HaiYang,2019,378849,10103,37.49866376,
HaiYang,2020,394336,10108,39.01226751,
HaiYang,2021,390137,9688,40.27012799,
HaiYang,2022,362159,8707,41.59400482,
KaiFaQu,2003,12308,609,20.21018062,
KaiFaQu,2004,11791,462,25.52164502,
KaiFaQu,2005,10700,465,23.01075269,
KaiFaQu,2006,17225,824,20.90412621,
KaiFaQu,2007,18389,1025,17.9404878,
KaiFaQu,2008,34520,1134,30.44091711,
KaiFaQu,2009,34199,645,53.02170543,
KaiFaQu,2010,35130,612,57.40196078,
KaiFaQu,2011,38634,580,66.61034483,
KaiFaQu,2012,23363,475,49.18526316,
KaiFaQu,2013,23704,484,48.97520661,
KaiFaQu,2014,16412,424,38.70754717,
KaiFaQu,2015,9818.5,322,30.49223602,
KaiFaQu,2016,10547,317,33.27129338,
KaiFaQu,2017,8567.9,219,39.12283105,
KaiFaQu,2018,8568,219,39.12328767,
KaiFaQu,2019,81893,1964,41.69704684,
KaiFaQu,2020,75295,1897,39.69161834,
KaiFaQu,2021,91404,2015,45.3617866,
KaiFaQu,2022,93197,2071,45.00096572,
LaiShan,2003,3770,655,5.755725191,
LaiShan,2004,4187,383,10.93211488,
LaiShan,2005,4356,356,12.23595506,
LaiShan,2006,5480,338,16.21301775,
LaiShan,2007,6003,397,15.1209068,
LaiShan,2008,5403,397,13.60957179,
LaiShan,2009,6350,26,244.2307692,
LaiShan,2010,17727,529,33.51039698,
LaiShan,2011,18780,531,35.36723164,
LaiShan,2012,17605,570,30.88596491,
LaiShan,2013,19269,547,35.22669104,
