adcode,name,center,centroid,childrenNum,level,parent,subFeatureIndex,acroutes
370602,芝罘区,"[121.385877,37.540925]","[121.358015,37.523889]",0,district,"{""adcode"":370600}",0,"[100000,370000,370600]"
370611,福山区,"[121.264741,37.496875]","[121.139729,37.484174]",0,district,"{""adcode"":370600}",1,"[100000,370000,370600]"
370612,牟平区,"[121.60151,37.388356]","[121.574704,37.273789]",0,district,"{""adcode"":370600}",2,"[100000,370000,370600]"
370613,莱山区,"[121.448866,37.473549]","[121.430986,37.38466]",0,district,"{""adcode"":370600}",3,"[100000,370000,370600]"
370614,蓬莱区,"[120.759074,37.811045]","[120.839122,37.658022]",0,district,"{""adcode"":370600}",4,"[100000,370000,370600]"
370681,龙口市,"[120.528328,37.648446]","[120.493223,37.608207]",0,district,"{""adcode"":370600}",5,"[100000,370000,370600]"
370682,莱阳市,"[120.711151,36.977037]","[120.745014,36.896539]",0,district,"{""adcode"":370600}",6,"[100000,370000,370600]"
370683,莱州市,"[119.942135,37.182725]","[119.982259,37.188957]",0,district,"{""adcode"":370600}",7,"[100000,370000,370600]"
370685,招远市,"[120.403142,37.364919]","[120.391485,37.338874]",0,district,"{""adcode"":370600}",8,"[100000,370000,370600]"
370686,栖霞市,"[120.834097,37.305854]","[120.88468,37.284486]",0,district,"{""adcode"":370600}",9,"[100000,370000,370600]"
370687,海阳市,"[121.168392,36.780657]","[121.108584,36.843098]",0,district,"{""adcode"":370600}",10,"[100000,370000,370600]"
